unit_name,unit_number,person_name,person_number
おいでやすこが,,おいでやす小田,
おいでやすこが,,こがけん,
NON STYLE,,石田明,
怪奇！YesどんぐりRPG,,サツマカワRPG,
怪奇！YesどんぐりRPG,,Yes!アキト,
アジアン,,馬場園梓,
アインシュタイン,,稲田直樹,
ロビンフット,,おぐ,
かが屋,,賀屋壮也,
コットン,,きょん,
さや香,,新山,
スリムクラブ,,真栄田賢,
すゑひろがりず,,南條庄助,
セルライトスパ,,大須賀健剛,
だーりんず,,松本りんす,
チョコレートプラネット,,松尾駿,
チョコレートプラネット,,長田庄平,
トンツカタン,,お抹茶,
ザ・プラン9,,なだぎ武,
ザ・プラン9,,ヤナギブソン,
ザ・プラン9,,浅越ゴエ,
ザ・プラン9,1,ヤナギブソン,
ザ・プラン9,1,浅越ゴエ,
ななまがり,,森下直人,
パーパー,,ほしのディスコ,
ベルナルド,,ハギノリザードマン,
バッファロー吾郎,,バッファロー吾郎A,
今夜も星が綺麗,,ヒロ・オクムラ,
プラス・マイナス,,シャドウ岩橋,
マヂカルラブリー,,野田クリスタル,
レイザーラモン,,RG,
最高の人間,,岡野陽一,
最高の人間,,吉住,
夜ふかしの会,,鬼頭真也,
巨匠,,岡野陽一,
金の国,,渡部おにぎり,
千鳥,,大悟,
麒麟,,川島明,
霜降り明星,,せいや,
霜降り明星,,粗品,
チュートリアル,,徳井義実,
博多華丸・大吉,,博多華丸,
アームストロング,,とにかく明るい安村,
ザ☆健康ボーイズ,,なかやまきんに君,
ジャリズム,,桂三度,
デニッシュ,,ミヤシタガク,
シャンプーハット,,恋さん,
COWCOW,,多田健二,
COWCOW,,善し,
トゥリオ,,サツマカワRPG,
チョコンヌ,,松尾駿,
チョコンヌ,,長田庄平,
マンプクトリオ,,マツモトクラブ,
クロスバー直撃,,前野悠介,
野性爆弾,,くっきー！,
豪快キャプテン,,山下ギャンブルゴリラ,
豪快キャプテン,,べーやん,
20世紀,,しげ,
20世紀,,木本悠斗,
タチマチ,,安達周平,
タチマチ,,胡内佑介,
ラメ入り,,うに,
ラメ入り,,静流,
天才ピアニスト,,竹内知咲,
天才ピアニスト,,ますみ,
ハスキーポーズ,,ただただし,
ハスキーポーズ,,リキライス,
ハスキーポーズ,,ナベ,
もも,,せめる。,
もも,,まもる。,
華山,,にこらす,
華山,,やすい,
釈迦虎,,岡本峻,
釈迦虎,,久保バトル泰志,
チェリー大作戦,,宗安聖,
チェリー大作戦,,ねんど,
彼岸花,,田中雄大,
彼岸花,,坂本拓馬,
ぎょうぶ,,澤畑健二,
ぎょうぶ,,為国,
翠星チークダンス,,ちろる,
翠星チークダンス,,木佐,
マーティー,,真平,
マーティー,,ホソ,
ダブルヒガシ,,東良介,
ダブルヒガシ,,大東翔生,
鬼としみちゃむ,,鬼沢さん,
鬼としみちゃむ,,しみちゃむ,
センリーズ,,テコンドー近藤,
センリーズ,,きたしろ,
オーパスツー,,しんじょう,
オーパスツー,,大ちゃん,
例えば炎,,田上,
例えば炎,,タキノルイ,
たくろう,,赤木裕,
たくろう,,きむらバンド,
生姜猫,,カンサイ,
生姜猫,,ケージュ,
生姜猫,,川﨑,
ライムギ,,れんぺい,
ライムギ,,なつみ,
チューリップフィクサー,,シゲカズです,
チューリップフィクサー,,白桃ピーチよぴぴ,
ネイビーズアフロ,,はじり,
ネイビーズアフロ,,みながわ,
空前メテオ,,茶屋,
空前メテオ,,大門正尚,
マーメイド,,テクニック。,
マーメイド,,田村境祐,
カシスオレンジ,,仲本新,
カシスオレンジ,,ポッポ,
ドーナツ・ピーナツ,,ドーナツ,
ドーナツ・ピーナツ,,ピーナツ,
ザ・布団,,江原,
ザ・布団,,TNB,
フースーヤ,,谷口理,
フースーヤ,,田中ショータイム,
牛ぺぺ,,ゆたか,
牛ぺぺ,,おねえちゃん,
タイムキーパー,,まついあきら,
タイムキーパー,,ひでき,
マイスイートメモリーズ,,花谷豊,
マイスイートメモリーズ,,トランスフォーム福田,
隣人,,橋本市民球場,
隣人,,中村遊直,
愛凛冴,,玲二,
愛凛冴,,横山,
三遊間,,さくらい,
三遊間,,稲継諒,
黒帯,,てらうち,
黒帯,,大西進,
カベポスター,,浜田順平,
カベポスター,,永見大吾,
ジョックロック,,ゆうじろー,
ジョックロック,,福本ユウショウ,
ロングコートダディ,,兎,
ロングコートダディ,,堂前透,
豆鉄砲,,東健太郎,
豆鉄砲,,ホセ,
十九人,,ゆッちゃんw,
十九人,,松永勝忢,
スタミナパン,,トシダタカヒデ,
スタミナパン,,麻婆,
オズワルド,,伊藤俊介,
オズワルド,,畠中悠,
カラタチ,,大山和也,
カラタチ,,前田壮太,
ドンデコルテ,,渡辺銀次,
ドンデコルテ,,小橋共作,
ママタルト,,大鶴肥満,
ママタルト,,檜原洋平,
家族チャーハン,,江頭,
家族チャーハン,,大石,
今夜も星が綺麗,,三福エンターテイメント,
ちょんまげラーメン,,きむ,
ちょんまげラーメン,,田渕章裕,
バッテリィズ,,寺家,
バッテリィズ,,エース,
金魚番長,,古市勇介,
金魚番長,,箕輪智征,
男性ブランコ,,平井まさあき,
男性ブランコ,,浦井のりひろ,
マユリカ,,中谷,
